policy,budget,seed,top1,n,zero_usable,usable_pct,received_pct,lat_ms_mean,lat_ms_p99,run
uniform,0.75,1,0.8779,303,13,50.86,75.88,25.73,94.79,uniform-b0.75-s1
uniform,0.75,2,0.8647,303,14,51.06,75.77,25.03,94.72,uniform-b0.75-s2
keyframe,1.0,0,0.868,303,20,70.86,93.16,31.38,88.39,keyframe-b1.0-s0
keyframe,1.0,1,0.8713,303,22,71.74,93.37,32.27,88.44,keyframe-b1.0-s1
keyframe,1.0,2,0.8548,303,23,71.94,93.12,31.7,88.42,keyframe-b1.0-s2
semantic,1.0,0,0.9571,303,0,81.65,85.29,16.41,93.74,semantic-b1.0-s0
semantic,1.0,1,0.9505,303,0,81.75,85.31,16.93,93.53,semantic-b1.0-s1
semantic,1.0,2,0.9472,303,0,81.78,85.97,16.54,93.71,semantic-b1.0-s2
tail,1.0,0,0.8251,303,37,68.36,93.7,34.54,97.87,tail-b1.0-s0
tail,1.0,1,0.8581,303,30,69.09,93.89,35.22,97.9,tail-b1.0-s1
tail,1.0,2,0.7987,303,40,68.72,93.7,34.36,97.87,tail-b1.0-s2
uniform,1.0,0,0.9373,303,2,73.4,87.34,15.99,93.83,uniform-b1.0-s0
uniform,1.0,1,0.9274,303,1,72.85,87.07,16.14,93.77,uniform-b1.0-s1
uniform,1.0,2,0.934,303,2,73.73,87.43,15.3,93.68,uniform-b1.0-s2
